# STATION: KLAX
# STATION NAME: Los Angeles, Los Angeles International Airport
# LATITUDE: 33.93806
# LONGITUDE: -118.38889
# ELEVATION [ft]: 125
# STATE: CA
Station_ID,Date_Time,air_temp_low_24_hour_set_1
,,Fahrenheit
KLAX,07/01/2012 00:53 UTC,
KLAX,07/01/2012 01:53 UTC,
KLAX,07/01/2012 02:53 UTC,
KLAX,07/01/2012 03:53 UTC,
KLAX,07/01/2012 04:53 UTC,
KLAX,07/01/2012 05:53 UTC,
KLAX,07/01/2012 06:53 UTC,
KLAX,07/01/2012 07:53 UTC,60.98
KLAX,07/01/2012 08:53 UTC,
KLAX,07/01/2012 09:45 UTC,
KLAX,07/01/2012 09:53 UTC,
KLAX,07/01/2012 10:48 UTC,
KLAX,07/01/2012 10:53 UTC,
KLAX,07/01/2012 11:53 UTC,
KLAX,07/01/2012 12:53 UTC,
KLAX,07/01/2012 13:53 UTC,
KLAX,07/01/2012 14:53 UTC,
KLAX,07/01/2012 15:53 UTC,
KLAX,07/01/2012 16:22 UTC,
KLAX,07/01/2012 16:53 UTC,
KLAX,07/01/2012 17:53 UTC,
KLAX,07/01/2012 18:05 UTC,
KLAX,07/01/2012 18:53 UTC,
KLAX,07/01/2012 19:53 UTC,
KLAX,07/01/2012 20:53 UTC,
KLAX,07/01/2012 21:53 UTC,
KLAX,07/01/2012 22:53 UTC,
KLAX,07/01/2012 23:53 UTC,
KLAX,07/02/2012 00:53 UTC,
KLAX,07/02/2012 01:53 UTC,
KLAX,07/02/2012 02:53 UTC,
KLAX,07/02/2012 03:53 UTC,
KLAX,07/02/2012 04:40 UTC,
KLAX,07/02/2012 04:53 UTC,
KLAX,07/02/2012 05:53 UTC,
KLAX,07/02/2012 06:53 UTC,
KLAX,07/02/2012 07:53 UTC,62.06
KLAX,07/02/2012 08:53 UTC,
KLAX,07/02/2012 09:53 UTC,
KLAX,07/02/2012 10:34 UTC,
KLAX,07/02/2012 10:53 UTC,
KLAX,07/02/2012 11:53 UTC,
KLAX,07/02/2012 11:59 UTC,
KLAX,07/02/2012 12:43 UTC,
KLAX,07/02/2012 12:53 UTC,
KLAX,07/02/2012 13:53 UTC,
KLAX,07/02/2012 14:53 UTC,
KLAX,07/02/2012 15:53 UTC,
KLAX,07/02/2012 16:53 UTC,
KLAX,07/02/2012 17:04 UTC,
KLAX,07/02/2012 17:53 UTC,
KLAX,07/02/2012 18:47 UTC,
KLAX,07/02/2012 18:53 UTC,
KLAX,07/02/2012 19:53 UTC,
KLAX,07/02/2012 20:53 UTC,
KLAX,07/02/2012 21:53 UTC,
KLAX,07/02/2012 22:53 UTC,
KLAX,07/02/2012 23:31 UTC,
