# STATION: KLAX
# STATION NAME: Los Angeles, Los Angeles International Airport
# LATITUDE: 33.93806
# LONGITUDE: -118.38889
# ELEVATION [ft]: 125
# STATE: CA
Station_ID,Date_Time,air_temp_high_24_hour_set_1
,,Fahrenheit
KLAX,06/01/2015 00:53 UTC,
KLAX,06/01/2015 01:53 UTC,
KLAX,06/01/2015 02:13 UTC,
KLAX,06/01/2015 02:53 UTC,
KLAX,06/01/2015 03:53 UTC,
KLAX,06/01/2015 04:53 UTC,
KLAX,06/01/2015 05:53 UTC,
KLAX,06/01/2015 06:53 UTC,
KLAX,06/01/2015 07:53 UTC,66.02
KLAX,06/01/2015 08:01 UTC,
KLAX,06/01/2015 08:53 UTC,
KLAX,06/01/2015 09:53 UTC,
KLAX,06/01/2015 10:24 UTC,
KLAX,06/01/2015 10:53 UTC,
KLAX,06/01/2015 11:53 UTC,
KLAX,06/01/2015 12:53 UTC,
KLAX,06/01/2015 13:53 UTC,
KLAX,06/01/2015 14:53 UTC,
KLAX,06/01/2015 15:16 UTC,
KLAX,06/01/2015 15:53 UTC,
KLAX,06/01/2015 16:53 UTC,
KLAX,06/01/2015 17:08 UTC,
KLAX,06/01/2015 17:53 UTC,
KLAX,06/01/2015 18:53 UTC,
KLAX,06/01/2015 19:53 UTC,
KLAX,06/01/2015 20:53 UTC,
KLAX,06/01/2015 21:53 UTC,
KLAX,06/01/2015 22:53 UTC,
KLAX,06/01/2015 23:53 UTC,
KLAX,06/02/2015 00:53 UTC,
KLAX,06/02/2015 01:53 UTC,
KLAX,06/02/2015 02:53 UTC,
KLAX,06/02/2015 03:53 UTC,
KLAX,06/02/2015 04:53 UTC,
KLAX,06/02/2015 05:53 UTC,
KLAX,06/02/2015 06:53 UTC,
KLAX,06/02/2015 07:53 UTC,66.92
KLAX,06/02/2015 08:53 UTC,
KLAX,06/02/2015 09:53 UTC,
KLAX,06/02/2015 10:53 UTC,
KLAX,06/02/2015 11:53 UTC,
KLAX,06/02/2015 12:53 UTC,
KLAX,06/02/2015 13:08 UTC,
KLAX,06/02/2015 13:38 UTC,
KLAX,06/02/2015 13:53 UTC,
KLAX,06/02/2015 14:04 UTC,
KLAX,06/02/2015 14:53 UTC,
KLAX,06/02/2015 15:53 UTC,
KLAX,06/02/2015 16:27 UTC,
KLAX,06/02/2015 16:53 UTC,
KLAX,06/02/2015 17:07 UTC,
KLAX,06/02/2015 17:53 UTC,
KLAX,06/02/2015 18:53 UTC,
KLAX,06/02/2015 19:53 UTC,
KLAX,06/02/2015 20:53 UTC,
KLAX,06/02/2015 21:53 UTC,
KLAX,06/02/2015 22:53 UTC,
KLAX,06/02/2015 23:53 UTC,
KLAX,06/03/2015 00:53 UTC,
KLAX,06/03/2015 01:53 UTC,
KLAX,06/03/2015 02:53 UTC,
KLAX,06/03/2015 03:53 UTC,
KLAX,06/03/2015 04:53 UTC,
KLAX,06/03/2015 05:14 UTC,
KLAX,06/03/2015 05:53 UTC,
KLAX,06/03/2015 06:53 UTC,
KLAX,06/03/2015 07:53 UTC,69.08
KLAX,06/03/2015 08:42 UTC,
KLAX,06/03/2015 08:53 UTC,
KLAX,06/03/2015 09:53 UTC,
KLAX,06/03/2015 10:53 UTC,
KLAX,06/03/2015 10:59 UTC,
KLAX,06/03/2015 11:53 UTC,
