# STATION: KLAX
# STATION NAME: Los Angeles, Los Angeles International Airport
# LATITUDE: 33.93806
# LONGITUDE: -118.38889
# ELEVATION [ft]: 125
# STATE: CA
Station_ID,Date_Time,air_temp_high_24_hour_set_1
,,Fahrenheit
KLAX,07/01/2009 00:53 UTC,
KLAX,07/01/2009 01:53 UTC,
KLAX,07/01/2009 02:53 UTC,
KLAX,07/01/2009 03:53 UTC,
KLAX,07/01/2009 04:53 UTC,
KLAX,07/01/2009 05:53 UTC,
KLAX,07/01/2009 06:53 UTC,
KLAX,07/01/2009 07:53 UTC,66.92
KLAX,07/01/2009 08:53 UTC,
KLAX,07/01/2009 09:53 UTC,
KLAX,07/01/2009 10:53 UTC,
KLAX,07/01/2009 11:53 UTC,
KLAX,07/01/2009 12:53 UTC,
KLAX,07/01/2009 13:53 UTC,
KLAX,07/01/2009 14:53 UTC,
KLAX,07/01/2009 15:53 UTC,
KLAX,07/01/2009 16:53 UTC,
KLAX,07/01/2009 17:45 UTC,
KLAX,07/01/2009 17:53 UTC,
KLAX,07/01/2009 18:08 UTC,
KLAX,07/01/2009 18:53 UTC,
KLAX,07/01/2009 19:53 UTC,
KLAX,07/01/2009 20:53 UTC,
KLAX,07/01/2009 21:53 UTC,
KLAX,07/01/2009 22:53 UTC,
KLAX,07/01/2009 23:53 UTC,
KLAX,07/02/2009 00:53 UTC,
KLAX,07/02/2009 01:53 UTC,
KLAX,07/02/2009 02:53 UTC,
KLAX,07/02/2009 03:53 UTC,
KLAX,07/02/2009 04:53 UTC,
KLAX,07/02/2009 05:53 UTC,
KLAX,07/02/2009 06:49 UTC,
KLAX,07/02/2009 06:53 UTC,
KLAX,07/02/2009 07:53 UTC,68.0
KLAX,07/02/2009 08:53 UTC,
KLAX,07/02/2009 09:53 UTC,
KLAX,07/02/2009 10:53 UTC,
KLAX,07/02/2009 11:53 UTC,
KLAX,07/02/2009 12:45 UTC,
KLAX,07/02/2009 12:53 UTC,
KLAX,07/02/2009 13:53 UTC,
KLAX,07/02/2009 14:53 UTC,
KLAX,07/02/2009 15:17 UTC,
KLAX,07/02/2009 15:53 UTC,
KLAX,07/02/2009 16:10 UTC,
KLAX,07/02/2009 16:43 UTC,
KLAX,07/02/2009 16:53 UTC,
KLAX,07/02/2009 17:53 UTC,
KLAX,07/02/2009 18:30 UTC,
KLAX,07/02/2009 18:53 UTC,
KLAX,07/02/2009 19:35 UTC,
KLAX,07/02/2009 19:53 UTC,
KLAX,07/02/2009 20:53 UTC,
KLAX,07/02/2009 21:10 UTC,
KLAX,07/02/2009 21:42 UTC,
KLAX,07/02/2009 21:53 UTC,
KLAX,07/02/2009 22:53 UTC,
KLAX,07/02/2009 23:53 UTC,
KLAX,07/03/2009 00:53 UTC,
KLAX,07/03/2009 01:48 UTC,
KLAX,07/03/2009 01:53 UTC,
KLAX,07/03/2009 02:53 UTC,
KLAX,07/03/2009 03:53 UTC,
KLAX,07/03/2009 04:38 UTC,
KLAX,07/03/2009 04:53 UTC,
KLAX,07/03/2009 05:53 UTC,
KLAX,07/03/2009 06:30 UTC,
KLAX,07/03/2009 06:53 UTC,
KLAX,07/03/2009 07:53 UTC,68.0
KLAX,07/03/2009 08:22 UTC,
KLAX,07/03/2009 08:53 UTC,
KLAX,07/03/2009 09:53 UTC,
KLAX,07/03/2009 10:53 UTC,
KLAX,07/03/2009 11:53 UTC,
KLAX,07/03/2009 12:53 UTC,
KLAX,07/03/2009 13:53 UTC,
KLAX,07/03/2009 14:53 UTC,
KLAX,07/03/2009 15:53 UTC,
